Contents Table						Header Table			Marker Table													Summary Table										Stimulus Table				Data Table																																																					
Table	Left	Top	Right	Bottom		Parameter	Value		Group	Name	Cage #	Age	Date	S	C	R	Eye	Name	uV	ms		Subject	Cage #	Step	Result	Eye	Trials	Rejects	Date	Comment		Step	Description	cd.s/m²		Step	Column	Chan	Result	Column	Trials	Step 1	Chan 1		Chan 2		Chan 3		Chan 4		Step 2	Chan 1			Chan 2			Chan 3			Chan 4			Step 3	Chan 1	Chan 2	Chan 3	Chan 4	Step 4	Chan 1	Chan 2	Chan 3	Chan 4	Step 5	Chan 1	Chan 2	Chan 3	Chan 4	Step 6	Chan 1	Chan 2	Chan 3	Chan 4	Step 7	Chan 1	Chan 2	Chan 3	Chan 4	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	5	2	1	LE	a	-182.7	19.5																5	77	3	1	78	0	-5	-6227.041015625	-2354.0234375	-1982.37890625	851.4296875	-3192.34350585938	-2685.13818359375	581.072875976563	1704.47180175781	-5	2955.73388671875	2078.0107421875	-417.3505859375	-6458.04541015625	-773.1474609375	-3511.26953125	-2851.3779296875	4076.35009765625	-2716.29858398438	-7678.701171875	1072.505859375	-38.5879516601563	-5	4493.51171875	-1556.9560546875	3047.689453125	896.964111328125	-5	5604.1123046875	15098.9609375	-276.625366210938	-4784.21875	-5	18973.23828125	46044.828125	-9055.8017578125	-8404.65625	-5	13895.4609375	27785.919921875	-1223.77966308594	-10359.6826171875	-5	-6708.064453125	-13429.9453125	438.02490234375	503.854858398438	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	5	2	1	LE	B	1021	71																5	78	4	1	79	0	-4.5	-5443.087890625	-2594.453125	-1477.787109375	954.1015625	-1277.57141113281	-1662.96557617188	575.948364257813	1284.60925292969	-4.5	6207.5439453125	1036.85986328125	-79.78515625	-4130.796875	-2039.8369140625	-3576.7958984375	1850.83459472656	2525.07348632813	-2147.29077148438	-3624.97387695313	-372.462554931641	-166.605133056641	-4.5	6942.89453125	-1631.8095703125	4179.01904296875	417.264709472656	-4.5	10308.03515625	14725.8447265625	3251.544921875	-5581.5126953125	-4.5	15632.5078125	45388.67578125	-11186.47265625	-8717.80078125	-4.5	15003.876953125	27687.90234375	-364.503662109375	-8048.55322265625	-4.5	-7729.22265625	-12082.234375	-578.863952636719	1295.56591796875	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	6	1	1	RE	a	-145.6	9																6	80	1	1	81	0	-4	-3025.05859375	-2597.8828125	-1872.31640625	-350.6796875	1770.83337402344	-748.564270019531	94.4085845947266	-341.506286621094	-4	6293.1513671875	-1407.63403320313	257.40625	-377.71630859375	-3170.4248046875	-2843.81396484375	3086.80102539063	-326.368499755859	-1181.74560546875	1614.19641113281	-1564.78796386719	465.553955078125	-4	7882.8271484375	-3346.6015625	3948.7978515625	-721.494384765625	-4	10261.314453125	15576.640625	2789.83984375	-4680.9755859375	-4	13534.798828125	45934.90625	-11562.685546875	-7930.35107421875	-4	15583.16015625	27841.85546875	239.732360839844	-5899.7451171875	-4	-8470.27734375	-12346.0859375	-1427.29052734375	567.876708984375	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	6	1	1	RE	B	537.6	64.5																6	81	2	1	82	0	-3.5	-347.33203125	-2351.2578125	-2391.783203125	-2761.6171875	4514.5009765625	88.8401565551758	-521.782836914063	-2649.5595703125	-3.5	3495.76904296875	-2950.7197265625	-453.0263671875	1096.74267578125	-3840.4560546875	-1545.220703125	958.722778320313	-2255.56958007813	-985.95263671875	4352.47509765625	-2006.98779296875	1524.90368652344	-3.5	5922.77490234375	-5863.61328125	1321.71411132813	-2245.33837890625	-3.5	6834.16796875	15477.9130859375	-1140.96130371094	-4077.4072265625	-3.5	14482.185546875	45390.8828125	-9073.2666015625	-7645.455078125	-3.5	13918.91796875	29339.8671875	-879.08154296875	-3466.40380859375	-3.5	-8109.4453125	-13652.078125	-1259.685546875	-1186.64221191406	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	6	2	1	LE	a	-228.4	9																6	82	3	1	83	0	-3	1955.25	-1628.4765625	-1515.63671875	-2493.515625	6089.3505859375	1028.06176757813	-112.531677246094	-2692.60913085938	-3	1134.3037109375	-2530.11206054688	-1366.8203125	-252.01318359375	-3844.310546875	-1588.0634765625	-1369.4052734375	-2048.66967773438	-1175.50219726563	3637.712890625	-1585.1259765625	1485.85729980469	-3	4221.10400390625	-6033.9208984375	-1237.36450195313	-1894.74401855469	-3	3824.40893554688	13943.873046875	-4934.783203125	-4636.00048828125	-3	16799.4453125	42709.37109375	-5304.1533203125	-8910.4423828125	-3	11459.72265625	31006.671875	-2732.44287109375	-1558.7265625	-3	-7096.46875	-13704.4453125	-370.3876953125	-1984.94189453125	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	6	2	1	LE	B	974	76																6	83	4	1	84	0	-2.5	3692.861328125	-568.875	128.130859375	1633.9765625	6337.29736328125	1975.02209472656	993.362976074219	598.420043945313	-2.5	1682.72265625	-762.6337890625	-1414.060546875	-2667.42529296875	-2685.9599609375	-3275.83447265625	-1154.015625	-278.01904296875	-830.483642578125	1216.76818847656	-177.117736816406	-18.5065994262695	-2.5	3335.3828125	-3872.6396484375	-2604.10180664063	499.318298339844	-2.5	2862.69018554688	13129.8837890625	-6293.8544921875	-4886.177734375	-2.5	18098.125	40314.68359375	-2728.16357421875	-10027.4970703125	-2.5	11201.8388671875	30816.822265625	-2804.97827148438	-1659.91943359375	-2.5	-6060.603515625	-11877.2890625	528.59375	-1034.63037109375	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	7	1	1	RE	a	-11.32	14																7	85	1	1	86	0	-2	4325.107421875	558.265625	717.73828125	4560.96875	5178.1708984375	2688.70288085938	1307.24072265625	3248.34716796875	-2	3298.5947265625	525.2548828125	-1056.7158203125	-3864.56127929688	-1694.8544921875	-4376.7294921875	576.013916015625	1207.52648925781	-107.583923339844	-330.558959960938	1054.42553710938	-1207.7333984375	-2	2248.61499023438	-2108.7099609375	-3315.87109375	2632.24755859375	-2	3275.64331054688	13299.74609375	-5481.8212890625	-4283.9306640625	-2	17712.9765625	40457.0703125	-2322.14306640625	-9018.7333984375	-2	14256.8515625	30040.2109375	-32.8208808898926	-2852.79711914063	-2	-5599.623046875	-10086.65625	776.459716796875	175.550659179688	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	7	1	1	RE	B	135.8	68																7	86	2	1	87	0	-1.5	4200.294921875	1562.4140625	115.42578125	4206.453125	3226.22607421875	2997.05834960938	482.013275146484	2798.49487304688	-1.5	3329.1220703125	-343.835693359375	-1334.021484375	-4608.09619140625	-2242.7998046875	-3605.279296875	1315.67309570313	741.782531738281	160.161773681641	-889.08056640625	869.210205078125	-742.069458007813	-1.5	1562.86083984375	-1397.5341796875	-3264.57861328125	3388.76806640625	-1.5	3157.12158203125	12200.71484375	-4431.1416015625	-4350.09912109375	-1.5	15945.5087890625	41935.9140625	-3662.98266601563	-6631.025390625	-1.5	18604.744140625	30556.1953125	3779.91552734375	-3344.0068359375	-1.5	-6407.203125	-9874.4921875	-139.623168945313	71.8992919921875	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	7	2	1	LE	a	-9.916	12.5																7	87	3	1	88	0	-1	3773.013671875	1455.015625	-867.083984375	3542.0078125	1216.69274902344	2268.86157226563	-761.466186523438	1214.56298828125	-1	3612.1708984375	-2785.59790039063	-1541.630859375	-5893.2265625	-2996.7724609375	-1642.67822265625	1717.72644042969	-1283.1826171875	294.119750976563	-1297.54931640625	149.024765014648	926.06640625	-1	939.4423828125	-671.0390625	-2885.66796875	3422.02783203125	-1	3287.18090820313	11248.5419921875	-3325.4365234375	-4392.9794921875	-1	14818.634765625	44092.37890625	-4766.92138671875	-3908.8740234375	-1	21733.80859375	31549.841796875	6036.4208984375	-3298.7158203125	-1	-7861.791015625	-11198.1171875	-1625.17211914063	-1487.58813476563	
									0	ANIMAL PRAC PRAC1		121 Years	3/12/2021	7	2	1	LE	B	272.9	58																7	88	4	1	89	0	-0.5	2735.998046875	210.34375	-1865.908203125	4369.6796875	-764.92529296875	588.83544921875	-1814.42504882813	590.377197265625	-0.5	7267.3251953125	-3696.66845703125	-868.62109375	-6129.458984375	-2302.677734375	240.787109375	4063.17846679688	-2218.2861328125	929.600524902344	-812.96435546875	397.900604248047	2468.01733398438	-0.5	280.908325195313	494.7646484375	-2452.43090820313	3388.41967773438	-0.5	4779.47802734375	12558.3193359375	-1571.69653320313	-2862.55883789063	-0.5	15774.3046875	46321.24609375	-4097.18359375	-1785.18896484375	-0.5	21501.583984375	31733.146484375	4809.5947265625	-3733.34545898438	-0.5	-8259.759765625	-12515.0546875	-2175.3603515625	-3109.85107421875	
																																										0	1499.236328125	-806.90625	-2759.8203125	5471.734375	-2361.14697265625	-825.643127441406	-2404.5126953125	591.21142578125	0	11506.62890625	-1789.22424316406	-492.4501953125	-4893.34228515625	-768.1904296875	915.0654296875	6624.90380859375	-647.749450683594	1328.12463378906	771.719055175781	1426.49548339844	2689.28369140625	0	1042.51025390625	2312.9033203125	-1091.09167480469	3681.78979492188	0	5146.14990234375	13196.23046875	-850.954345703125	-1702.73059082031	0	17551.603515625	44659.18359375	-2498.80859375	-3127.8603515625	0	17555.77734375	31978.21484375	194.939056396484	-4258.4931640625	0	-7530.423828125	-12069.734375	-1511.85363769531	-3122.58544921875	
																																										0.5	698.439453125	-267.3515625	-3026.125	4975.0859375	-3105.15698242188	-752.580688476563	-2196.28149414063	-255.187896728516	0.5	10640.955078125	334.95849609375	-963.9453125	-4230.5380859375	263.431640625	349.5947265625	5032.705078125	1468.50500488281	975.106079101563	1849.865234375	2079.9111328125	1524.70764160156	0.5	2484.05712890625	4578.23095703125	678.540954589844	4192.42138671875	0.5	4501.6064453125	11406.146484375	-1280.22973632813	-2543.48974609375	0.5	18800.69921875	38243.7734375	-1408.19653320313	-8407.0751953125	0.5	13417.9619140625	32077.8515625	-4412.2421875	-4902.697265625	0.5	-6628.490234375	-11275.1171875	-494.580444335938	-2359.09057617188	
																																										1	559.95703125	1890.359375	-2812.302734375	2441.59375	-2897.248046875	846.477905273438	-1410.89013671875	-2478.33837890625	1	6777.646484375	93.788330078125	-1311.1123046875	-4373.91650390625	1073.427734375	-371.5888671875	485.029510498047	1629.23364257813	546.633178710938	1915.31640625	2257.361328125	66.3697357177734	1	1933.35888671875	5159.240234375	790.9931640625	3374.6025390625	1	5289.1015625	9965.9921875	-997.506530761719	-3524.91821289063	1	19235.927734375	33944.3671875	-1393.16674804688	-12036.455078125	1	12374.33203125	31218.43359375	-5661.93212890625	-6141.07763671875	1	-6081.7578125	-12136.828125	137.568481445313	-2599.29833984375	
																																										1.5	1317.73046875	2694.9921875	-2552.50390625	-1492.4765625	-1784.24401855469	1564.44067382813	-571.126708984375	-5433.6357421875	1.5	5396.3330078125	-1942.36694335938	-797.755859375	-2999.806640625	2203.9609375	-206.2177734375	-2219.92504882813	-89.6732177734375	750.713317871094	2595.0234375	2368.54638671875	-531.784790039063	1.5	-457.677734375	1951.6533203125	-842.525207519531	-277.452209472656	1.5	6496.185546875	9745.927734375	-334.02978515625	-3497.3330078125	1.5	18477.865234375	35857.58984375	-2631.32275390625	-9964.55078125	1.5	13868.1474609375	32194.16796875	-3704.83984375	-6038.1123046875	1.5	-6062.73828125	-13140.0703125	103.179931640625	-3123.68920898438	
																																										2	2544.41796875	150.9296875	-1899.228515625	-4583.34375	-326.0029296875	-438.902801513672	360.185668945313	-7140.57763671875	2	5392.029296875	-2336.63793945313	240.4111328125	-961.1142578125	2697.734375	1397.171875	-2749.7666015625	-873.030334472656	1422.84057617188	3608.18920898438	1915.23596191406	260.306182861328	2	-2057.99853515625	-2232.26171875	-2041.3056640625	-4510.705078125	2	7984.31591796875	9211.685546875	458.974365234375	-3339.943359375	2	16008.4130859375	39112.44921875	-5148.099609375	-5665.9833984375	2	14736.5859375	36211.5859375	-1552.34350585938	-3592.14526367188	2	-6406.322265625	-12920.703125	-401.0146484375	-2767.02978515625	
																																										2.5	3150.810546875	-2565.390625	-1642.939453125	-5723.3515625	459.170288085938	-2864.365234375	802.883728027344	-6517.21533203125	2.5	3748.08203125	-423.4775390625	847.04296875	788.42431640625	1620.4287109375	3509.9716796875	-3437.43359375	363.449462890625	1745.50842285156	4176.25634765625	307.629516601563	1600.4462890625	2.5	-1807.49682617188	-3038.5234375	-1523.44653320313	-5500.5693359375	2.5	10633.8798828125	9604.7236328125	1801.66162109375	-2494.916015625	2.5	13778.0234375	39468.890625	-7223.2978515625	-3646.93994140625	2.5	12109.912109375	37797.69140625	-2171.00219726563	-2804.89086914063	2.5	-6721.484375	-11805.5625	-909.325378417969	-1598.72521972656	
																																										3	2696.970703125	-2294.3203125	-2445.01953125	-5681.765625	127.292327880859	-2765.78759765625	272.014221191406	-4332.99560546875	3	1278.8818359375	1008.2353515625	941.1640625	2626.6484375	-167.2353515625	3935.3134765625	-4405.146484375	1591.68103027344	1491.38879394531	4395.05078125	-1719.32983398438	1582.16809082031	3	-419.594360351563	-731.5390625	209.361267089844	-3042.68603515625	3	11975.478515625	12473.7822265625	1954.39697265625	-22.321533203125	3	14437.658203125	38285.00390625	-6635.95849609375	-3938.87915039063	3	3730.1982421875	30433.5859375	-7275.34814453125	-8780.4375	3	-6720.177734375	-10286.984375	-1065.65112304688	-176.128173828125	
																																										3.5	1707.193359375	-727.625	-3138.646484375	-4356.8984375	-815.395629882813	-984.045349121094	-335.196105957031	-1201.91845703125	3.5	-345.5400390625	1104.31787109375	1211.2861328125	2382.998046875	-805.857421875	2305.3251953125	-4560.1376953125	1610.18994140625	1188.30102539063	2884.13159179688	-2553.55517578125	-270.020385742188	3.5	1809.24780273438	1624.6796875	2450.59301757813	-8.01483154296875	3.5	10109.095703125	15934.2548828125	-538.567138671875	2604.73681640625	3.5	15900.509765625	36687.08984375	-4810.5927734375	-5282.564453125	3.5	-13712.744140625	12526.447265625	-18282.83984375	-22249.9375	3.5	-7145.611328125	-9115.7578125	-1344.4267578125	706.615966796875	
																																										4	811.57421875	-636.3671875	-2946.546875	-2172.390625	-1611.60681152344	-44.7720184326172	-212.443511962891	2037.59973144531	4	-1569.4423828125	279.282958984375	1901.564453125	-605.2431640625	-352.5869140625	654.8359375	-4052.7412109375	572.384826660156	1178.83239746094	-693.6806640625	-2024.47875976563	-2236.94384765625	4	4303.7353515625	1822.82568359375	4365.08056640625	1009.86761474609	4	6834.0546875	17661.6953125	-4180.9052734375	3311.37255859375	4	15025.232421875	34068.4453125	-4596.703125	-7319.271484375	4	-41279.03515625	-15718.5703125	-34423.0078125	-41027.92578125	4	-8157.830078125	-8521.921875	-1949.21850585938	756.108642578125	
																																										4.5	47.609375	-1947.546875	-2541.205078125	-885.59375	-2011.54309082031	-509.976257324219	257.454345703125	3836.37060546875	4.5	-2802.630859375	-889.108154296875	2228.583984375	-3760.98315429688	-832.9169921875	73.2734375	-3321.76782226563	-798.425231933594	982.732788085938	-4100.69384765625	-1768.81286621094	-2985.34716796875	4.5	5880.228515625	1377.80419921875	4925.884765625	681.358154296875	4.5	4545.6826171875	16717.123046875	-6552.24462890625	1292.11669921875	4.5	11873.62109375	31247.734375	-6431.4501953125	-9090.7353515625	4.5	-77385.953125	-56145.1171875	-52585.31640625	-63699.91796875	4.5	-8741.859375	-8059.640625	-2176.32177734375	384.902954101563	
																																										5	-736.017578125	-3961.515625	-2786.376953125	-930.9140625	-2123.85717773438	-1769.13415527344	291.149383544922	3772.08862304688	5	-3871.73828125	-648.17578125	1789.9150390625	-4822.74072265625	-2776.564453125	-461.9140625	-2462.21606445313	-955.839538574219	249.673248291016	-5113.3369140625	-2563.08178710938	-3044.96630859375	5	6047.19921875	2389.35546875	3833.515625	942.246398925781	5	3959.93310546875	13380.9970703125	-6666.7978515625	-2777.8515625	5	5664.41845703125	27992.6796875	-10443.73046875	-10511.287109375	5	-117404.8125	-108633.734375	-67636.9453125	-87963.0625	5	-8466.671875	-7555.4140625	-1625.68640136719	-49.3206787109375	
																																										5.5	-1261.521484375	-5604.140625	-3093.658203125	-1464.0078125	-1874.10998535156	-2654.03198242188	141.875122070313	2741.56372070313	5.5	-5857.16015625	1355.234375	1189.240234375	-3618.92065429688	-4911.3974609375	-1456.77197265625	-2298.2392578125	496.646362304688	-577.23681640625	-3492.501953125	-3531.2080078125	-3066.44165039063	5.5	5243.6962890625	2425.73046875	1741.94091796875	632.908264160156	5.5	5148.61474609375	9440.06640625	-4717.0537109375	-6845.90380859375	5.5	-4358.7041015625	21367.685546875	-16449.10546875	-13571.3388671875	5.5	-151694.546875	-163636.21875	-71874.6640625	-105552.8046875	5.5	-7457.890625	-7287.28125	-456.583618164063	-586.051818847656	
																																										6	-1813.900390625	-4980.3046875	-2855.4765625	-3151.8515625	-1544.26306152344	-1584.45471191406	319.462768554688	835.813598632813	6	-8708.728515625	2959.4970703125	49.3330078125	-594.8388671875	-5724.453125	-1387.61083984375	-2851.3955078125	1791.67590332031	-1580.291015625	-158.68896484375	-3325.8935546875	-2265.19213867188	6	4743.3095703125	160.7822265625	16.7691650390625	-1254.30639648438	6	6124.8671875	6441.1005859375	-2693.38525390625	-9129.271484375	6	-17167.560546875	9744.56640625	-22981.212890625	-19429.37109375	6	-171615.984375	-207257.734375	-59814.65625	-105876.3203125	6	-6144.443359375	-7507.21875	807.964965820313	-1362.74145507813	
																																										6.5	-2946.318359375	-2862.0390625	-2874.87890625	-5363.8828125	-1611.09887695313	862.016784667969	362.659210205078	-1188.77746582031	6.5	-8972.32421875	3436.564453125	-1679.0888671875	2301.466796875	-4316.40234375	345.4326171875	-1627.26525878906	1920.89135742188	-2717.84301757813	2746.86450195313	-1216.392578125	-265.422790527344	6.5	4817.52734375	-1317.3125	-793.226684570313	-2545.40234375	6.5	4110.1103515625	4960.92724609375	-3133.24853515625	-9075.447265625	6.5	-31763.11328125	-5199.296875	-28602.576171875	-26442.689453125	6.5	-177001.890625	-233935.625	-34149.96484375	-86331.2890625	6.5	-5340.998046875	-7954.5234375	1395.96435546875	-2171.31884765625	
																																										7	-4077.73046875	-1962.5703125	-3096.3515625	-3674.09375	-1720.30078125	2289.84887695313	227.114517211914	-77.0063934326172	7	-3821.78076171875	2976.67822265625	-2133.3330078125	3422.3134765625	-1704.6201171875	1651.73828125	3495.1552734375	958.482788085938	-2662.18579101563	3499.18603515625	1800.85766601563	1309.65808105469	7	3972.45556640625	-839.568359375	-1721.28173828125	-1984.21459960938	7	-187.81640625	5357.53955078125	-5682.451171875	-6872.90576171875	7	-45606.5390625	-21559.47265625	-31217.04296875	-32342.02734375	7	-174175.78125	-245976	-4081.25732421875	-53150.47265625	7	-5840.39453125	-8190.578125	697.05126953125	-2632.03076171875	
																																										7.5	-4397.591796875	-3290.7109375	-2217.841796875	2172.03125	-1219.59594726563	1510.72827148438	801.925598144531	4432.568359375	7.5	4133.49169921875	941.2578125	-358.3818359375	4318.5634765625	377.31640625	1270.83203125	10278.412109375	-1194.98901367188	-700.333251953125	3142.04663085938	3947.73046875	1222.43505859375	7.5	1782.29541015625	14.611328125	-3298.23046875	-688.039672851563	7.5	-4484.23681640625	6087.3583984375	-8115.39990234375	-4243.369140625	7.5	-57981.2109375	-38140.1796875	-30404.34375	-35690.515625	7.5	-167604.484375	-247796.53125	22593.83984375	-15604.82421875	7.5	-7796.353515625	-7957.453125	-1226.88598632813	-2529.0556640625	
																																										8	-3824.572265625	-5320.53125	-351.71875	6548.8515625	-22.0429649353027	-265.083953857422	2065.119140625	7703.77001953125	8	9035.3916015625	-1902.39404296875	1860.7080078125	5631.1533203125	1278.8994140625	365.30859375	13536.7587890625	-3651.734375	1662.83764648438	2692.11059570313	4391.591796875	276.510711669922	8	-389.072265625	1026.5615234375	-4584.4306640625	662.920593261719	8	-7349.40625	4190.068359375	-8731.943359375	-3860.27587890625	8	-71365.15625	-53960.125	-28556.78125	-35903.59375	8	-160038.515625	-243831.84375	41651.35546875	18233.716796875	8	-10229.16796875	-6983.734375	-3331.982421875	-1754.73657226563	
																																										8.5	-3189.427734375	-6072.2109375	1206.029296875	6172.7734375	1138.93969726563	-1048.68298339844	2952.13696289063	6391.83251953125	8.5	8231.388671875	-3740.94995117188	2041.3330078125	5164.4912109375	901.251953125	6.2236328125	10705.0947265625	-4787.3671875	2162.724609375	1063.966796875	3212.19165039063	-348.119415283203	8.5	-1378.244140625	2034.984375	-4560.4365234375	1653.01867675781	8.5	-8074.47265625	-21.177978515625	-6950.50830078125	-5738.7421875	8.5	-86460.6171875	-69617.1484375	-27142.013671875	-33990.75	8.5	-153342.234375	-236605.75	51922.0078125	44140.14453125	8.5	-11344.99609375	-5506.796875	-3995.17846679688	-630.626770019531	
